class_level,topic,subtopic,chapter,page_range
6,Arithmetic,Fractions,Ch 2 Fractions,12-25
6,Arithmetic,Decimals,Ch 3 Decimals,26-39
6,Arithmetic,Ratios,Ch 12 Ratio and Proportion,120-132
7,Algebra,Linear Equations,Ch 4 Simple Equations,40-58
7,Algebra,Expressions,Ch 9 Expressions,95-108
6,Geometry,Triangles,Ch 5 Basic Geometry,59-72
6,Geometry,Angles,Ch 5 Basic Geometry,73-84
7,Geometry,Circles,Ch 10 Circles,109-118
7,Mensuration,Area,Ch 11 Mensuration,119-130
7,Mensuration,Perimeter,Ch 11 Mensuration,131-140
