topic,category,class_level,book_name,chapters,page_range,page_list,occurrences,confidence
matching actions with pictures exercise page 24-25,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",1-146,"1, 15, 24, 25, 29, 63, 127, 146",8,0.594
I look with my eyes body part usage page 4,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",1-160,"1, 4, 33, 49, 53, 61, 79, 85, 89, 96",16,0.481
sequencing story pictures exercise page 58,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,1-15,"1, 15",2,0.597
I walk with my legs usage page 4,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",1-153,"1, 4, 53, 54, 85, 103, 122, 153",8,0.492
one little head goes side to side page 1,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",1-152,"1, 3, 18, 45, 49, 50, 57, 58, 67, 69",19,0.454
one little mouth likes to eat page 2,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",2-140,"2, 9, 12, 13, 15, 48, 58, 100, 114, 140",10,0.505
matching body parts with pictures exercise page 6,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",2-160,"2, 6, 8, 14, 32, 40, 42, 44, 76, 78",20,0.638
two little ears hear any sound page 2,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",2-163,"2, 18, 140, 145, 163",5,0.483
Vocabulary Family Members,Vocabulary Family Members,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",2-142,"2, 26, 29, 41, 43, 44, 45, 48, 60, 67",18,0.51
capital and small letters recognition page 46,Alphabet and Phonics,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",2-160,"2, 3, 4, 5, 7, 11, 13, 21, 33, 40",57,0.501
mother word begins with m sound page 41,Vocabulary Family Members,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",3-152,"3, 5, 29, 31, 33, 40, 41, 42, 43, 51",28,0.519
I see with my eyes function page 7,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",3-160,"3, 5, 7, 15, 47, 53, 66, 67, 69, 74",27,0.488
words with two syllables farmer carrot market brinjal mango breakfast dinner page 103,Vocabulary Food and Meals,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",3-135,"3, 53, 68, 80, 107, 124, 127, 133, 135",9,0.528
father word begins with f sound page 41,Vocabulary Family Members,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",5-154,"5, 40, 41, 42, 47, 49, 51, 59, 84, 89",18,0.489
red fruits in picture identifying page 85,Vocabulary Fruits and Vegetables,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",5-97,"5, 55, 66, 84, 85, 97",6,0.468
sparrow family story page 37-38,Vocabulary Family Members,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",6-141,"6, 32, 141",3,0.629
counting game hopscotch numbers 1-7 page 26,Vocabulary Numbers and Counting,6,english_class_6,Reprint 2025-26,6,6,1,0.715
Anandi's rainbow story page 115-117,Vocabulary Colours and Rainbow,6,english_class_6,Reprint 2025-26,6,6,1,0.696
hopscotch game jumping hopping page 26,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,6,6,1,0.672
I hear with my ears function page 7,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",7-154,"7, 68, 79, 112, 140, 154",6,0.545
I smell with my nose function page 7,Vocabulary Body Parts,6,english_class_6,Reprint 2025-26,7,7,1,0.504
Jaggu lives in Nagpur animals near house page 77,Vocabulary Animals and Birds,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",7-77,"7, 77",2,0.532
